839634 function calls (824339 primitive calls) in 5.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.046    0.046 interactiveshell.py:2(<module>)
      4/2    0.000    0.000    0.044    0.022 pyplot.py:216(switch_backend)
     2704    0.025    0.000    0.043    0.000 inspect.py:613(cleandoc)
        3    0.000    0.000    0.041    0.014 pyplot.py:276(backend_mod)
        1    0.000    0.000    0.039    0.039 rcsetup.py:14(<module>)
        1    0.000    0.000    0.038    0.038 backend_qt5agg.py:3(<module>)
     2391    0.002    0.000    0.038    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.038    0.038 __init__.py:13(<module>)
        3    0.000    0.000    0.037    0.012 pyplot.py:736(gcf)
        1    0.000    0.000    0.037    0.037 pyplot.py:555(figure)
        1    0.000    0.000    0.037    0.037 pyplot.py:312(new_figure_manager)
        1    0.000    0.000    0.037    0.037 backend_bases.py:3487(new_figure_manager)
      265    0.001    0.000    0.037    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.036    0.036 backend_bases.py:3496(new_figure_manager_given_figure)
        1    0.001    0.001    0.035    0.035 backend_qt5.py:1(<module>)
  653/265    0.002    0.000    0.035    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.034    0.034 collections.py:10(<module>)
       46    0.001    0.000    0.034    0.001 text.py:863(get_window_extent)
  831/292    0.013    0.000    0.034    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.034    0.034 textpath.py:1(<module>)
        8    0.000    0.000    0.033    0.004 axis.py:1089(_get_tick_bboxes)
        8    0.000    0.000    0.033    0.004 axis.py:1091(<listcomp>)
        1    0.000    0.000    0.033    0.033 crashhandler.py:8(<module>)
        1    0.000    0.000    0.032    0.032 figureoptions.py:6(<module>)
        1    0.000    0.000    0.031    0.031 __init__.py:39(<module>)
        1    0.000    0.000    0.031    0.031 ultratb.py:81(<module>)
       60    0.001    0.000    0.031    0.001 text.py:268(_get_layout)
        1    0.000    0.000    0.030    0.030 qt_compat.py:14(<module>)
        1    0.000    0.000    0.030    0.030 mathtext.py:16(<module>)
        1    0.000    0.000    0.030    0.030 qt_compat.py:72(_setup_pyqt5)
        1    0.000    0.000    0.030    0.030 oinspect.py:8(<module>)
        1    0.000    0.000    0.028    0.028 code.py:2(<module>)
      638    0.028    0.000    0.028    0.000 {method 'read' of '_io.FileIO' objects}
        8    0.000    0.000    0.028    0.004 axis.py:1016(_update_ticks)
       20    0.000    0.000    0.028    0.001 backend_agg.py:215(get_text_width_height_descent)
        1    0.000    0.000    0.028    0.028 basic.py:2(<module>)
      425    0.002    0.000    0.028    0.000 artist.py:1290(get_valid_values)
       40    0.000    0.000    0.026    0.001 backend_agg.py:268(_get_agg_font)
        1    0.000    0.000    0.026    0.026 request.py:68(<module>)
     1747    0.001    0.000    0.026    0.000 artist.py:1356(is_alias)
        1    0.000    0.000    0.025    0.025 fontconfig_pattern.py:6(<module>)
        1    0.006    0.006    0.025    0.025 backend_qt5.py:535(__init__)
       40    0.000    0.000    0.025    0.001 font_manager.py:1252(findfont)
       12    0.002    0.000    0.025    0.002 artist.py:1337(get_setters)
        4    0.000    0.000    0.025    0.006 __init__.py:3(<module>)
        1    0.000    0.000    0.024    0.024 buffer.py:4(<module>)
        1    0.005    0.005    0.023    0.023 font_manager.py:1316(_findfont_cached)
        2    0.000    0.000    0.023    0.012 figure.py:2021(gca)
        1    0.000    0.000    0.023    0.023 figure.py:1254(add_subplot)
        1    0.000    0.000    0.023    0.023 _subplots.py:18(__init__)
        1    0.000    0.000    0.023    0.023 category.py:11(<module>)
        1    0.000    0.000    0.023    0.023 _base.py:434(__init__)
      320    0.001    0.000    0.023    0.000 overrides.py:187(decorator)
       28    0.005    0.000    0.022    0.001 __init__.py:794(_rc_params_in_file)
      265    0.000    0.000    0.021    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.021    0.021 pyparsing.py:61(<module>)
       12    0.000    0.000    0.021    0.002 artist.py:1242(__init__)
       12    0.001    0.000    0.021    0.002 artist.py:1262(get_aliases)
  842/808    0.003    0.000    0.021    0.000 inspect.py:2191(_signature_from_callable)
        5    0.000    0.000    0.020    0.004 __init__.py:10(<module>)
        1    0.000    0.000    0.020    0.020 grammar.py:1(<module>)
      440    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.019    0.019 client.py:69(<module>)
        8    0.000    0.000    0.019    0.002 axis.py:1375(get_major_ticks)
        1    0.000    0.000    0.019    0.019 debugger.py:17(<module>)
        1    0.000    0.000    0.018    0.018 Image.py:27(<module>)
        1    0.000    0.000    0.018    0.018 imports.py:13(<module>)
      695    0.000    0.000    0.018    0.000 inspect.py:3068(signature)
      695    0.000    0.000    0.018    0.000 inspect.py:2816(from_callable)
        1    0.000    0.000    0.018    0.018 core.py:12(<module>)
        1    0.000    0.000    0.017    0.017 core.py:164(load_base_library)
        1    0.000    0.000    0.017    0.017 core.py:196(read_style_directory)
        1    0.000    0.000    0.017    0.017 _base.py:1038(cla)
        1    0.000    0.000    0.016    0.016 __init__.py:124(<module>)
  961/739    0.004    0.000    0.016    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       26    0.000    0.000    0.016    0.001 __init__.py:868(rc_params_from_file)
11729/11657    0.005    0.000    0.016    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.016    0.016 multiarray.py:7(<module>)
        1    0.000    0.000    0.016    0.016 index_tricks.py:1(<module>)
      695    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      154    0.000    0.000    0.016    0.000 artist.py:1086(set)
        1    0.000    0.000    0.016    0.016 font_manager.py:14(<module>)
        1    0.000    0.000    0.016    0.016 inputsplitter.py:15(<module>)
     1386    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      510    0.000    0.000    0.016    0.000 re.py:180(search)
        2    0.000    0.000    0.016    0.008 cm.py:266(to_rgba)
 1664/265    0.007    0.000    0.016    0.000 sre_compile.py:71(_compile)
        2    0.007    0.003    0.015    0.008 colors.py:545(__call__)
        1    0.000    0.000    0.015    0.015 _pickle.py:1(<module>)
      779    0.006    0.000    0.015    0.000 inspect.py:2110(_signature_from_function)
      117    0.001    0.000    0.014    0.000 decorator.py:190(create)
      112    0.000    0.000    0.014    0.000 decorator.py:218(decorate)
       76    0.007    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.014    0.014 axes3d.py:11(<module>)
       16    0.001    0.000    0.014    0.001 axis.py:56(__init__)
        1    0.000    0.000    0.014    0.014 auto_suggest.py:8(<module>)
        8    0.000    0.000    0.014    0.002 axis.py:2011(_get_tick)
        8    0.000    0.000    0.014    0.002 axis.py:416(__init__)
        1    0.000    0.000    0.014    0.014 inputtransformer.py:5(<module>)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
     1241    0.001    0.000    0.013    0.000 __init__.py:655(__setitem__)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        8    0.000    0.000    0.013    0.002 axis.py:2301(_get_tick)
        8    0.000    0.000    0.013    0.002 axis.py:489(__init__)
        1    0.000    0.000    0.013    0.013 _parser.py:30(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:30(<module>)
        8    0.000    0.000    0.013    0.002 axis.py:815(set_tick_params)
     1276    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.012    0.012 font_manager.py:1004(json_load)
        1    0.000    0.000    0.012    0.012 __init__.py:274(load)
        1    0.000    0.000    0.012    0.012 _axes.py:71(Axes)
       96    0.000    0.000    0.012    0.000 decorator.py:236(decorator)
        1    0.000    0.000    0.012    0.012 artist.py:1(<module>)
       20    0.000    0.000    0.012    0.001 axis.py:283(draw)
        1    0.000    0.000    0.012    0.012 Image.py:2087(save)
     1478    0.011    0.000    0.011    0.000 {built-in method numpy.array}
     6241    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.011    0.011 renderer.py:4(<module>)
       91    0.000    0.000    0.011    0.000 magic.py:186(magic_deco)
        1    0.000    0.000    0.011    0.011 backend_qt5agg.py:19(__init__)
        1    0.000    0.000    0.011    0.011 backend_qt5.py:217(__init__)
       76    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
    38/34    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.011    0.011 backend_qt5.py:600(_get_toolbar)
    38/34    0.002    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
    56146    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
        1    0.001    0.001    0.011    0.011 backend_qt5.py:653(__init__)
        1    0.000    0.000    0.011    0.011 _base.py:1(<module>)
        2    0.000    0.000    0.011    0.005 _base.py:2851(grid)
        4    0.000    0.000    0.011    0.003 axis.py:1401(grid)
      6/4    0.000    0.000    0.010    0.003 axis.py:607(__get__)
        2    0.000    0.000    0.010    0.005 __init__.py:299(loads)
        1    0.000    0.000    0.010    0.010 __init__.py:47(<module>)
        2    0.000    0.000    0.010    0.005 decoder.py:332(decode)
        1    0.000    0.000    0.010    0.010 execution.py:2(<module>)
        2    0.004    0.002    0.010    0.005 decoder.py:343(raw_decode)
        1    0.010    0.010    0.010    0.010 backend_qt5.py:96(_create_qApp)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:201(__call__)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:139(construct_parser)
        1    0.000    0.000    0.010    0.010 lines.py:4(<module>)
        1    0.000    0.000    0.010    0.010 parser.py:25(<module>)
        1    0.000    0.000    0.010    0.010 Image.py:347(preinit)
        1    0.000    0.000    0.010    0.010 tokenize2.py:37(<module>)
        2    0.000    0.000    0.010    0.005 cache.py:1(<module>)
     1314    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.009    0.009 __init__.py:116(<module>)
