839634 function calls (824339 primitive calls) in 5.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 wcwidth.py:70(<module>)
        1    0.000    0.000    0.001    0.001 gridspec.py:10(<module>)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:607(_save)
       30    0.000    0.000    0.001    0.000 __init__.py:652(__init__)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 display.py:26(DisplayMagics)
    13767    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 syntax_tree.py:3(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
       19    0.000    0.000    0.001    0.000 patches.py:791(get_patch_transform)
     4376    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 ImageFile.py:488(_save)
      727    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       83    0.000    0.000    0.001    0.000 ntpath.py:517(abspath)
       19    0.000    0.000    0.001    0.000 patches.py:761(_update_patch_transform)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.001    0.001 namespace.py:2(<module>)
        3    0.000    0.000    0.001    0.000 core.py:5790(max)
       16    0.000    0.000    0.001    0.000 lines.py:1005(get_path)
      803    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       97    0.000    0.000    0.001    0.000 fromnumeric.py:2617(amax)
        1    0.000    0.000    0.001    0.001 errors.py:2(<module>)
      618    0.001    0.000    0.001    0.000 __init__.py:2045(_setattr_cm)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
      188    0.000    0.000    0.001    0.000 markers.py:230(_recache)
        1    0.000    0.000    0.001    0.001 afm.py:36(<module>)
        8    0.000    0.000    0.001    0.000 spines.py:348(draw)
        1    0.000    0.000    0.001    0.001 namespace.py:33(NamespaceMagics)
     3086    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     2890    0.001    0.000    0.001    0.000 enum.py:537(__new__)
        1    0.000    0.000    0.001    0.001 getpass.py:11(<module>)
        1    0.001    0.001    0.001    0.001 {method 'encode_to_file' of 'ImagingEncoder' objects}
        7    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(catch_config_error)
      382    0.000    0.000    0.001    0.000 artist.py:52(_stale_axes_callback)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        6    0.000    0.000    0.001    0.000 axis.py:228(set_clip_path)
        1    0.000    0.000    0.001    0.001 util.py:10(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 script.py:62(ScriptMagics)
        1    0.000    0.000    0.001    0.001 io.py:4(<module>)
     4852    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1286    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     3719    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     3020    0.001    0.000    0.001    0.000 inspect.py:2792(<genexpr>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 document.py:3(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 pretty.py:79(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:16(<module>)
        1    0.000    0.000    0.001    0.001 win.py:2(<module>)
       16    0.000    0.000    0.001    0.000 ticker.py:2909(__init__)
        1    0.000    0.000    0.001    0.001 relativedelta.py:2(<module>)
        1    0.000    0.000    0.001    0.001 processors.py:7(<module>)
      430    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.001    0.001 generics.py:5(<module>)
      425    0.000    0.000    0.001    0.000 artist.py:1363(aliased_name)
        2    0.000    0.000    0.001    0.001 axis.py:664(__init__)
       32    0.000    0.000    0.001    0.000 lines.py:1146(set_marker)
      114    0.001    0.000    0.001    0.000 artist.py:69(__init__)
       83    0.001    0.000    0.001    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       12    0.000    0.000    0.001    0.000 backend_agg.py:131(draw_path)
       16    0.000    0.000    0.001    0.000 ticker.py:2109(__init__)
       98    0.000    0.000    0.001    0.000 inspect.py:2830(replace)
       13    0.000    0.000    0.001    0.000 core.py:2813(__new__)
      266    0.000    0.000    0.001    0.000 transforms.py:1832(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        4    0.000    0.000    0.001    0.000 pyplot.py:794(close)
       31    0.000    0.000    0.001    0.000 _base.py:56(__set_name__)
        2    0.000    0.000    0.001    0.001 _base.py:2607(_update_title_position)
     2116    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        4    0.000    0.000    0.001    0.000 _pylab_helpers.py:79(destroy_all)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
        1    0.000    0.000    0.001    0.001 py3compat.py:2(<module>)
       64    0.000    0.000    0.001    0.000 axis.py:1944(getter)
       16    0.000    0.000    0.001    0.000 ticker.py:2182(set_params)
       65    0.000    0.000    0.001    0.000 path.py:98(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
      194    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       40    0.000    0.000    0.001    0.000 font_manager.py:1411(get_font)
       34    0.001    0.000    0.001    0.000 textwrap.py:233(_wrap_chunks)
       69    0.000    0.000    0.001    0.000 cp1256.py:22(decode)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      126    0.000    0.000    0.001    0.000 transforms.py:766(__init__)
        1    0.000    0.000    0.001    0.001 module_paths.py:14(<module>)
        1    0.000    0.000    0.001    0.001 access.py:1(<module>)
        4    0.001    0.000    0.001    0.000 {built-in method gc.collect}
     1839    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:18(<module>)
        1    0.000    0.000    0.001    0.001 uuid.py:45(<module>)
        1    0.000    0.000    0.001    0.001 lexers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 win32_input.py:1(<module>)
       23    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
       56    0.000    0.000    0.001    0.000 fromnumeric.py:39(_wrapit)
        1    0.000    0.000    0.001    0.001 pickleshare.py:34(<module>)
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
        6    0.000    0.000    0.001    0.000 colors.py:988(process_value)
        1    0.000    0.000    0.001    0.001 dviread.py:18(<module>)
       34    0.000    0.000    0.001    0.000 textwrap.py:336(_split_chunks)
        2    0.000    0.000    0.001    0.001 base.py:3(<module>)
    10258    0.001    0.000    0.001    0.000 inspect.py:2522(kind)
      516    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      107    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
     2299    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     5218    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      542    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       63    0.000    0.000    0.001    0.000 colors.py:829(reversed)
       69    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
       88    0.000    0.000    0.001    0.000 traitlets.py:737(__init__)
        1    0.000    0.000    0.001    0.001 gzip.py:4(<module>)
      374    0.000    0.000    0.001    0.000 contextlib.py:237(helper)
        5    0.000    0.000    0.001    0.000 colors.py:1086(autoscale_None)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.001    0.001 cm.py:242(_scale_norm)
       80    0.000    0.000    0.001    0.000 _base.py:649(viewLim)
        1    0.000    0.000    0.001    0.001 interpreter.py:3(<module>)
        1    0.000    0.000    0.001    0.001 cm.py:442(autoscale_None)
        1    0.000    0.000    0.001    0.001 paths.py:2(<module>)
       16    0.000    0.000    0.001    0.000 ticker.py:873(_set_format)
       20    0.000    0.000    0.001    0.000 pyparsing.py:3981(parseImpl)
        1    0.000    0.000    0.001    0.001 axis.py:1972(__init__)
       40    0.000    0.000    0.001    0.000 font_manager.py:713(_from_any)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        8    0.000    0.000    0.001    0.000 core.py:6545(array)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 code.py:3(<module>)
       18    0.000    0.000    0.001    0.000 pyparsing.py:3917(parseImpl)
        1    0.000    0.000    0.001    0.001 timing.py:4(<module>)
       82    0.000    0.000    0.001    0.000 _base.py:635(_unstale_viewLim)
        1    0.001    0.001    0.001    0.001 path.py:23(Path)
     5103    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _process_win32.py:4(<module>)
        1    0.000    0.000    0.001    0.001 history.py:138(HistoryAccessor)
      127    0.000    0.000    0.001    0.000 ntpath.py:75(join)
       38    0.000    0.000    0.001    0.000 transforms.py:815(from_extents)
       48    0.000    0.000    0.001    0.000 lines.py:1190(set_markerfacecolor)
       30    0.000    0.000    0.001    0.000 lines.py:1277(update_from)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 completion.py:3(<module>)
        1    0.000    0.000    0.001    0.001 embed.py:29(EmbeddedMagics)
        3    0.000    0.000    0.001    0.000 style.py:41(__new__)
       66    0.000    0.000    0.001    0.000 pyparsing.py:1799(__add__)
      166    0.001    0.000    0.001    0.000 __init__.py:2219(_check_isinstance)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
       34    0.000    0.000    0.001    0.000 textwrap.py:160(_split)
        1    0.000    0.000    0.001    0.001 application.py:102(BaseIPythonApplication)
      271    0.000    0.000    0.001    0.000 enum.py:69(__setitem__)
        4    0.000    0.000    0.001    0.000 _base.py:1566(apply_aspect)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       16    0.000    0.000    0.001    0.000 ticker.py:797(_compute_offset)
     1303    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       58    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 tree.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 figure.py:250(__init__)
        1    0.000    0.000    0.001    0.001 shortcuts.py:4(<module>)
     2116    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
        4    0.000    0.000    0.001    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.001    0.001 formatter.py:10(<module>)
       20    0.000    0.000    0.001    0.000 text.py:254(update_from)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
        1    0.000    0.000    0.001    0.001 coloransi.py:3(<module>)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     1027    0.001    0.000    0.001    0.000 __init__.py:2254(_check_in_list)
       17    0.000    0.000    0.001    0.000 deprecation.py:416(_make_keyword_only)
       33    0.000    0.000    0.001    0.000 argparse.py:1241(__init__)
     2123    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
       87    0.000    0.000    0.001    0.000 traitlets.py:757(setup_class)
       63    0.000    0.000    0.001    0.000 colors.py:848(<dictcomp>)
        1    0.000    0.000    0.001    0.001 axis.py:2260(__init__)
      598    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      638    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       55    0.000    0.000    0.001    0.000 typing.py:600(__init__)
     5519    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000001E3C7B37488}
      638    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
     7949    0.001    0.000    0.001    0.000 inspect.py:2510(name)
        1    0.000    0.000    0.001    0.001 art3d.py:8(<module>)
      109    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 _base.py:982(_gen_axes_spines)
        6    0.000    0.000    0.001    0.000 patches.py:41(__init__)
        5    0.000    0.000    0.001    0.000 _base.py:997(<genexpr>)
     6169    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 flow_analysis.py:1(<module>)
        4    0.000    0.000    0.001    0.000 spines.py:484(linear_spine)
        6    0.000    0.000    0.001    0.000 <decorator-gen-14>:1(catch_corrupt_db)
       54    0.000    0.000    0.001    0.000 backend_bases.py:659(new_gc)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
      695    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.001    0.001 from_dict.py:8(<module>)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
       47    0.000    0.000    0.001    0.000 argparse.py:2460(_get_formatter)
      237    0.000    0.000    0.001    0.000 figure.py:42(_stale_figure_callback)
      151    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
       12    0.000    0.000    0.001    0.000 enum.py:645(<listcomp>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3238(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
       19    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       84    0.000    0.000    0.001    0.000 deprecation.py:222(finalize)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
      163    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
       20    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
       54    0.000    0.000    0.001    0.000 backend_bases.py:736(__init__)
      546    0.000    0.000    0.001    0.000 transforms.py:1702(__init__)
      473    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
  117/116    0.000    0.000    0.001    0.000 __init__.py:235(wrapper)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
       74    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 py3compat.py:5(<module>)
      374    0.001    0.000    0.001    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.001    0.001 strdispatch.py:2(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.001    0.001 emacs.py:2(<module>)
       94    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amin)
       47    0.000    0.000    0.001    0.000 argparse.py:159(__init__)
        1    0.000    0.000    0.001    0.001 splitinput.py:10(<module>)
        1    0.000    0.000    0.001    0.001 sysinfo.py:4(<module>)
       95    0.000    0.000    0.001    0.000 transforms.py:1267(__add__)
       82    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
       88    0.000    0.000    0.001    0.000 traitlets.py:742(setup_class)
      714    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
       16    0.000    0.000    0.001    0.000 axis.py:1333(_get_tick_label_size)
       60    0.000    0.000    0.001    0.000 text.py:834(get_prop_tup)
        1    0.000    0.000    0.001    0.001 Image.py:2675(frombuffer)
       22    0.000    0.000    0.001    0.000 gettext.py:624(gettext)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.001    0.001 Image.py:2637(frombytes)
      188    0.001    0.000    0.001    0.000 colors.py:850(<listcomp>)
        2    0.000    0.000    0.001    0.000 text.py:9(<module>)
        1    0.000    0.000    0.001    0.001 application.py:120(Application)
       22    0.000    0.000    0.001    0.000 gettext.py:585(dgettext)
       38    0.000    0.000    0.001    0.000 transforms.py:309(xmin)
     1731    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
        4    0.000    0.000    0.001    0.000 spines.py:31(__init__)
     1308    0.001    0.000    0.001    0.000 __init__.py:1830(_str_equal)
        4    0.000    0.000    0.001    0.000 magic.py:198(mark)
      117    0.000    0.000    0.001    0.000 decorator.py:139(update)
      172    0.000    0.000    0.001    0.000 font_manager.py:736(__hash__)
        1    0.000    0.000    0.001    0.001 _asarray.py:5(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       27    0.000    0.000    0.001    0.000 pathlib.py:1071(glob)
        1    0.000    0.000    0.001    0.001 logging.py:2(<module>)
     2304    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1645    0.000    0.000    0.001    0.000 inspect.py:72(isclass)
        1    0.000    0.000    0.001    0.001 code.py:174(CodeMagics)
       32    0.000    0.000    0.001    0.000 pathlib.py:980(__new__)
       36    0.000    0.000    0.001    0.000 __init__.py:1879(getLogger)
       11    0.000    0.000    0.001    0.000 argparse.py:488(_format_text)
        2    0.001    0.000    0.001    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1915    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       81    0.000    0.000    0.001    0.000 transforms.py:1982(scale)
      269    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      179    0.000    0.000    0.001    0.000 __init__.py:1281(_to_unmasked_float_array)
     1198    0.000    0.000    0.001    0.000 __init__.py:1310(debug)
       22    0.000    0.000    0.001    0.000 gettext.py:514(translation)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.001    0.001 ticker.py:167(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:28(<module>)
      117    0.000    0.000    0.001    0.000 transforms.py:1715(transform)
      719    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 magics.py:1(<module>)
  303/251    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:39(<module>)
       27    0.000    0.000    0.001    0.000 core.py:2969(__array_finalize__)
  520/388    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      310    0.000    0.000    0.001    0.000 _asarray.py:110(asanyarray)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
       11    0.000    0.000    0.001    0.000 magic_arguments.py:69(_fill_text)
        8    0.000    0.000    0.001    0.000 axis.py:2244(get_tick_space)
       29    0.000    0.000    0.001    0.000 transforms.py:1937(rotate_deg)
        1    0.000    0.000    0.001    0.001 collections.py:22(Collection)
       38    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
        1    0.000    0.000    0.001    0.001 from_pygments.py:29(style_from_pygments)
      350    0.001    0.000    0.001    0.000 enum.py:373(__setattr__)
        1    0.000    0.000    0.001    0.001 logging.py:28(LoggingMagics)
      306    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.001    0.001 iterable.py:22(<module>)
     1255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       95    0.000    0.000    0.001    0.000 transforms.py:2433(composite_transform_factory)
     4218    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       94    0.000    0.000    0.001    0.000 fromnumeric.py:2742(amin)
        1    0.000    0.000    0.001    0.001 from_dict.py:42(style_from_dict)
      162    0.000    0.000    0.001    0.000 transforms.py:148(invalidate)
     4054    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 figure.py:220(Figure)
      638    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
    24/23    0.000    0.000    0.001    0.000 typing.py:245(inner)
       11    0.000    0.000    0.001    0.000 __init__.py:474(_get_data_path)
        4    0.000    0.000    0.001    0.000 spines.py:221(register_axis)
      188    0.000    0.000    0.001    0.000 __init__.py:853(get_siblings)
       36    0.000    0.000    0.001    0.000 __init__.py:1170(getLogger)
     1114    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      121    0.000    0.000    0.001    0.000 transforms.py:1794(transform_affine)
       14    0.000    0.000    0.001    0.000 text.py:363(dedent)
        1    0.000    0.000    0.001    0.001 widgets.py:10(<module>)
        1    0.000    0.000    0.001    0.001 history.py:472(HistoryManager)
        1    0.000    0.000    0.001    0.001 texmanager.py:47(TexManager)
        1    0.000    0.000    0.001    0.001 docstrings.py:16(<module>)
        1    0.000    0.000    0.001    0.001 token.py:10(<module>)
     3640    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       32    0.000    0.000    0.001    0.000 pathlib.py:635(_from_parts)
       22    0.000    0.000    0.001    0.000 six.py:819(with_metaclass)
        1    0.000    0.000    0.001    0.001 backend_agg.py:389(FigureCanvasAgg)
       42    0.000    0.000    0.001    0.000 pathlib.py:615(_parse_args)
       48    0.000    0.000    0.001    0.000 lines.py:1204(set_markerfacecoloralt)
       24    0.000    0.000    0.001    0.000 patches.py:523(_bind_draw_path_function)
   163/82    0.000    0.000    0.001    0.000 abc.py:141(__subclasscheck__)
       36    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       29    0.000    0.000    0.001    0.000 transforms.py:1921(rotate)
        1    0.000    0.000    0.001    0.001 magics.py:39(TerminalMagics)
       16    0.000    0.000    0.001    0.000 ticker.py:2159(_validate_steps)
       18    0.000    0.000    0.001    0.000 transforms.py:806(from_bounds)
       40    0.000    0.000    0.001    0.000 transforms.py:633(translated)
       37    0.000    0.000    0.001    0.000 typing.py:1190(_alias)
      394    0.000    0.000    0.001    0.000 typing.py:701(__setattr__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      234    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
      695    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
       22    0.000    0.000    0.001    0.000 gettext.py:474(find)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:569(matplotlib_fname)
      374    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
   163/82    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 vt100_output.py:8(<module>)
       19    0.000    0.000    0.001    0.000 transforms.py:1957(rotate_deg_around)
     1790    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4054    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      787    0.000    0.000    0.001    0.000 function_base.py:244(iterable)
        2    0.000    0.000    0.001    0.000 backend_agg.py:412(get_renderer)
       16    0.000    0.000    0.001    0.000 ticker.py:836(_set_order_of_magnitude)
       54    0.000    0.000    0.001    0.000 artist.py:850(_set_gc_clip)
       22    0.000    0.000    0.001    0.000 six.py:826(__new__)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        4    0.000    0.000    0.001    0.000 spines.py:234(cla)
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 modeline.py:10(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:5(<module>)
       36    0.000    0.000    0.000    0.000 axis.py:538(update_position)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:231(InteractiveShell)
       22    0.000    0.000    0.000    0.000 argparse.py:1369(add_argument_group)
      190    0.000    0.000    0.000    0.000 transforms.py:185(set_children)
       38    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(reshape)
       14    0.000    0.000    0.000    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.000    0.000 Image.py:2598(new)
       36    0.000    0.000    0.000    0.000 axis.py:467(update_position)
      731    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        4    0.000    0.000    0.000    0.000 warnings.py:119(filterwarnings)
       38    0.000    0.000    0.000    0.000 shape_base.py:612(column_stack)
        4    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(catch_format_error)
      290    0.000    0.000    0.000    0.000 traitlets.py:419(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
      755    0.000    0.000    0.000    0.000 functools.py:67(wraps)
    68/64    0.000    0.000    0.000    0.000 spines.py:391(get_spine_transform)
       54    0.000    0.000    0.000    0.000 backend_bases.py:900(set_clip_path)
      116    0.000    0.000    0.000    0.000 font_manager.py:851(set_weight)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
      130    0.000    0.000    0.000    0.000 token.py:35(__getattr__)
       22    0.000    0.000    0.000    0.000 argparse.py:1548(__init__)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
      193    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:5(<module>)
       36    0.000    0.000    0.000    0.000 stride_tricks.py:478(broadcast_arrays)
     2778    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1872(get_plot_commands)
     34/5    0.000    0.000    0.000    0.000 pyparsing.py:3297(streamline)
      629    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 scale.py:670(_get_scale_docs)
      811    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
        1    0.000    0.000    0.000    0.000 glob.py:9(glob)
  245/162    0.000    0.000    0.000    0.000 transforms.py:158(_invalidate_internal)
        2    0.000    0.000    0.000    0.000 glob.py:39(_iglob)
       83    0.000    0.000    0.000    0.000 transforms.py:2276(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       14    0.000    0.000    0.000    0.000 enum.py:821(__or__)
        6    0.000    0.000    0.000    0.000 deprecation.py:56(warn_deprecated)
        2    0.000    0.000    0.000    0.000 __init__.py:456(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 offsetbox.py:23(<module>)
        6    0.000    0.000    0.000    0.000 transforms.py:666(<listcomp>)
       44    0.000    0.000    0.000    0.000 pathlib.py:50(parse_parts)
        1    0.000    0.000    0.000    0.000 wintypes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 text.py:576(DollarFormatter)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        2    0.000    0.000    0.000    0.000 axis.py:2094(_update_offset_text_position)
      695    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       87    0.000    0.000    0.000    0.000 traitlets.py:1627(__init__)
       16    0.000    0.000    0.000    0.000 ticker.py:2174(_staircase)
        1    0.000    0.000    0.000    0.000 mlab.py:54(<module>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
     3531    0.000    0.000    0.000    0.000 artist.py:796(get_animated)
     2439    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      109    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
     2550    0.000    0.000    0.000    0.000 colors.py:276(<genexpr>)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
